Country_code_A3,Name,Substance,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ALB,Albania,NH3,0.972408135,0.972591442,0.965733967,0.97357515,0.973120741,0.973152869,0.972209092,0.972448622,0.974602138,0.976787702,0.975257895,0.972802399,0.973961535,0.975885637
ALB,Albania,NOx,0.177283447,0.210025628,0.197967778,0.190790637,0.231666906,0.257609844,0.255745021,0.237158264,0.216637332,0.237482121,0.240657406,0.220347779,0.256062379,0.307665175
ALB,Albania,NMVOC,0.20499155,0.206029625,0.207713909,0.241471768,0.240898932,0.242624932,0.253041109,0.24425966,0.236929336,0.26784224,0.262496967,0.247464184,0.260756936,0.275843326
ALB,Albania,SO2,0.211687781,0.24848746,0.310208521,0.286117823,0.28197646,0.434696124,0.353987988,0.358797872,0.290117096,0.321161582,0.348784814,0.316748449,0.410448432,0.448019308
ALB,Albania,PM2.5,0.160040011,0.172204416,0.107964115,0.180312828,0.213375383,0.239927804,0.229673525,0.187381673,0.231527464,0.247881132,0.234930131,0.230604622,0.234313297,0.304682758
ALB,Albania,PM10,0.172862313,0.177788976,0.136843867,0.206825028,0.226763772,0.245868101,0.240928204,0.194965835,0.225659144,0.246128002,0.224270897,0.212411617,0.223144319,0.268828808
ALB,Albania,OC,0.137693641,0.142836755,0.082937105,0.162793766,0.166782045,0.187765887,0.170253011,0.151921273,0.212852737,0.219424739,0.202473144,0.21987016,0.19270286,0.238399764
ALB,Albania,CO,0.092043016,0.09283955,0.075177279,0.114345012,0.128872713,0.134410055,0.15413802,0.135520166,0.152234607,0.160384228,0.162113034,0.150767985,0.172751808,0.226310553
ALB,Albania,BC,0.111262814,0.118189125,0.10092135,0.123629701,0.12273564,0.139231034,0.160641425,0.147728297,0.15281304,0.159504883,0.157089033,0.1546733,0.162082956,0.191450503
ARM,Armenia,NH3,0.980756443,0.976457077,0.974139999,0.968921224,0.971132039,0.953561335,0.964240276,0.964106716,0.966902777,0.962232981,0.926587488,0.906578505,0.895629585,0.900971403
ARM,Armenia,PM10,0.422791195,0.272902029,0.450379399,0.370818606,0.498107839,0.172590692,0.458875046,0.429957692,0.432168228,0.352484045,0.193114046,0.159230674,0.115694338,0.123132136
ARM,Armenia,PM2.5,0.433691496,0.227760949,0.523851512,0.399875645,0.556692258,0.134043628,0.500866973,0.446061564,0.439126934,0.382228829,0.205447677,0.167818741,0.108046125,0.119009874
ARM,Armenia,OC,0.476596253,0.178390853,0.594461274,0.44908552,0.630105559,0.125969262,0.58106197,0.466464505,0.5130595,0.430613505,0.20812501,0.164940377,0.09236186,0.103302346
ARM,Armenia,BC,0.423056756,0.216386161,0.514959856,0.419402148,0.515960909,0.170808992,0.506236263,0.472130979,0.472489891,0.251217765,0.153961206,0.1235942,0.076316773,0.088525456
ARM,Armenia,NMVOC,0.21413411,0.213305811,0.218356723,0.213543322,0.213101541,0.201242825,0.210320389,0.217342805,0.2251409,0.231172253,0.20731724,0.195218246,0.181881397,0.182948917
