country,Country_code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,ALB,8052077248.0,8896075005.0,10677324853.0,12881352894.0,12044205550.0,11926926616.0,12890760315.0,12319834195.0,12776224497.0,13228147516.0,11386853113.0,11861199831.0,13019726212.0,15156424015.0,15401826127.0,15162734205.0,17930565119.0,18916378861.0
Armenia,ARM,4900469511.0,6384452067.0,9206301270.0,11662040714.0,8647937081.0,9260285756.0,10142111825.0,10619320683.0,11121464437.0,11609513247.0,10553337518.0,10546136236.0,11527458709.0,12457940695.0,13619290539.0,12641698583.0,13878908629.0,19513474648.0
Austria,AUT,316000000000.0,336000000000.0,389000000000.0,432000000000.0,402000000000.0,392000000000.0,432000000000.0,409000000000.0,430000000000.0,443000000000.0,382000000000.0,396000000000.0,417000000000.0,455000000000.0,445000000000.0,435000000000.0,479000000000.0,471000000000.0
Azerbaijan,AZE,13245421881.0,20981929498.0,33049419431.0,48851293785.0,44292427185.0,52909294792.0,65952796428.0,69679944504.0,74160560124.0,75239785452.0,53076235355.0,37866996883.0,40866627352.0,47112470052.0,48174235294.0,42693000000.0,54825411765.0,78721058824.0
Belgium,BEL,386000000000.0,408000000000.0,471000000000.0,517000000000.0,483000000000.0,481000000000.0,523000000000.0,496000000000.0,522000000000.0,535000000000.0,462000000000.0,476000000000.0,503000000000.0,543000000000.0,536000000000.0,526000000000.0,601000000000.0,583000000000.0
Bulgaria,BGR,29868657858.0,34380536496.0,44432811756.0,54480684188.0,52023801230.0,50760929303.0,57737040780.0,54288135059.0,55852123990.0,57157782910.0,50811995689.0,53964253212.0,59309748166.0,66370132238.0,68881010246.0,70368758395.0,84041493016.0,90346169915.0
Belarus,BLR,30210091837.0,36961894281.0,45275711996.0,60752106347.0,50873167326.0,57231904543.0,61762382328.0,65685890439.0,75527558966.0,78812805039.0,56454889147.0,47723545321.0,54725302250.0,60031173808.0,64410122847.0,61371755326.0,69673747132.0,72793457588.0
Switzerland,CHE,418000000000.0,442000000000.0,491000000000.0,567000000000.0,554000000000.0,599000000000.0,716000000000.0,686000000000.0,706000000000.0,727000000000.0,694000000000.0,688000000000.0,695000000000.0,726000000000.0,721000000000.0,742000000000.0,813000000000.0,818000000000.0
Cyprus,CYP,18433411267.0,20072786351.0,23968764030.0,27844698989.0,25945391775.0,25732125694.0,27564931919.0,24977293926.0,23899444183.0,23155988617.0,19842492367.0,20952955488.0,22870678689.0,25523485043.0,25947027570.0,25227201184.0,29482917679.0,29250524418.0
Germany,DEU,2850000000000.0,2990000000000.0,3430000000000.0,3750000000000.0,3410000000000.0,3400000000000.0,3750000000000.0,3530000000000.0,3730000000000.0,3890000000000.0,3360000000000.0,3470000000000.0,3690000000000.0,3970000000000.0,3890000000000.0,3890000000000.0,4280000000000.0,4080000000000.0
